INFO:root:Blob add op (0, 0, 255)+(0, 255, 0)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(340,429)+Blob of color(0, 0, 255),size7,location(339,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,418)+Blob of color(0, 0, 255),size5,location(340,429)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(340,429)+Blob of color(0, 0, 255),size7,location(338,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,418)+Blob of color(0, 0, 255),size5,location(340,429)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(341,429)+Blob of color(0, 0, 255),size7,location(339,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,418)+Blob of color(0, 0, 255),size5,location(341,429)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(341,428)+Blob of color(0, 0, 255),size7,location(339,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,418)+Blob of color(0, 0, 255),size5,location(341,428)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(341,427)+Blob of color(0, 0, 255),size7,location(339,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,419)+Blob of color(0, 0, 255),size5,location(341,427)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(342,426)+Blob of color(0, 0, 255),size7,location(338,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,419)+Blob of color(0, 0, 255),size5,location(342,426)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,427)+Blob of color(0, 0, 255),size7,location(337,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,419)+Blob of color(0, 0, 255),size5,location(343,427)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(343,427)+Blob of color(0, 0, 255),size7,location(336,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(336,418)+Blob of color(0, 0, 255),size5,location(343,427)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,425)+Blob of color(0, 0, 255),size7,location(337,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,417)+Blob of color(0, 0, 255),size5,location(345,425)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,423)+Blob of color(0, 0, 255),size7,location(337,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,416)+Blob of color(0, 0, 255),size5,location(346,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,423)+Blob of color(0, 0, 255),size7,location(336,416)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(336,416)+Blob of color(0, 0, 255),size5,location(345,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,423)+Blob of color(0, 0, 255),size7,location(337,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(337,415)+Blob of color(0, 0, 255),size5,location(345,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,422)+Blob of color(0, 0, 255),size7,location(338,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,415)+Blob of color(0, 0, 255),size5,location(346,422)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,423)+Blob of color(0, 0, 255),size7,location(339,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,415)+Blob of color(0, 0, 255),size5,location(345,423)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(346,424)+Blob of color(0, 0, 255),size7,location(339,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(339,415)+Blob of color(0, 0, 255),size5,location(346,424)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(345,423)+Blob of color(0, 0, 255),size7,location(338,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(338,414)+Blob of color(0, 0, 255),size5,location(345,423)
